IP	MAC	HostName	CPU	RAM Size	Share File	SystemVer	NetCard Type	NetCard Vendor
161.200.144.59	78:E3:B5:99:CD:3D	CAR-CDL	-	-		-	-	Hewlett-Packard Company
161.200.145.59	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.60	40:6C:8F:1A:07:ED	KENGS-IMAC	-	-		-	-	Apple, Inc.
161.200.145.60	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.61	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.62	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.63	00:02:65:14:10:98	-	-	-		-	-	Virditech Co. Ltd.
161.200.145.63	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.64	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.65	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.66	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.67	F8:0F:41:C7:F5:9C	SO_LENOVO5706	-	-		-	-	Wistron InfoComm(ZhongShan) Corporation
161.200.145.67	00:11:0A:C3:27:7D	NPIC3277D	-	-		-	-	Hewlett-Packard Company
161.200.144.68	6C:62:6D:55:AC:23	CIR19	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.68	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.69	98:90:96:BC:32:97	TIC581546	-	-		-	-	
161.200.145.69	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.70	98:90:96:BC:35:E0	-	-	-		-	-	
161.200.145.70	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.71	98:90:96:BC:3A:AA	ILR581541	-	-		-	-	
161.200.145.71	00:80:77:91:6B:D6	BRN_916BD6	-	-		-	-	BROTHER INDUSTRIES, LTD.
161.200.144.72	18:03:73:4D:2B:40	CAR-ILR	-	-		-	-	Dell Inc
161.200.145.72	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.73	00:1E:4F:49:B9:59	AMD14-51	-	-		-	-	Dell Inc.
161.200.145.73	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.74	B0:83:FE:6D:21:55	-	-	-		-	-	
