IP	MAC	HostName	CPU	RAM Size	Share File	SystemVer	NetCard Type	NetCard Vendor
161.200.145.202	00:20:EF:20:87:89	-	-	-		-	-	USC CORPORATION
161.200.145.203	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.204	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.204	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.205	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.205	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.206	6C:62:6D:55:AD:8E	WORKGROUP	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.206	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.207	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.207	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.208	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.208	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.209	78:2B:CB:D0:F7:E9	AOON	-	-		-	-	Dell Inc
161.200.145.209	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.210	6C:62:6D:55:AC:27	-	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.210	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.211	98:90:96:BC:35:41	IIC581550	-	-		-	-	
161.200.145.211	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.212	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.212	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.213	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.213	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.214	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.214	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.215	00:26:55:41:BC:B2	IRM-CYBERZONE-5	-	-		-	-	Hewlett-Packard Company
161.200.145.215	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.216	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.216	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.217	64:00:6A:7B:32:DC	CIH1624	-	-		-	-	
161.200.145.217	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.218	38:C9:86:42:61:4C	APPLES-IMAC	-	-		-	-	
161.200.145.218	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.219	98:90:96:BC:35:1B	CDL581554	-	-		-	-	
161.200.145.219	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.220	F8:0F:41:C2:9E:E5	SO_LENOVO5705	-	-		-	-	Wistron InfoComm(ZhongShan) Corporation
161.200.145.220	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.221	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.221	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.222	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.222	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.223	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.223	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.224	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.224	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.225	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.225	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.226	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.226	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.227	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.227	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.228	98:90:96:BC:36:07	CDL581557	-	-		-	-	
161.200.145.228	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.229	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.229	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.230	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.230	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.231	6C:62:6D:55:AB:A6	CAR_ACQ28	-	-		-	-	Micro-Star INT'L CO., LTD
161.200.145.231	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.232	A4:1F:72:79:4B:1A	COM-03	-	-		-	-	Dell Inc.
161.200.145.232	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.233	F8:0F:41:C2:A1:62	SO_LENOVO5704	-	-		-	-	Wistron InfoComm(ZhongShan) Corporation
161.200.145.233	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.234	98:90:96:BC:33:7F	CAR	-	-		-	-	
161.200.145.234	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.235	00:26:55:42:2E:74	OPAC_0912	-	-		-	-	Hewlett-Packard Company
161.200.145.235	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.236	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.236	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.237	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.237	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.238	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.238	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.239	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.239	96:43:17:07:24:AA	ISD2003_2	-	-		-	-	
161.200.144.240	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.240	92:07:E9:0A:E1:D0	ISD2003	-	-		-	-	
161.200.144.241	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.241	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.242	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.242	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.243	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.243	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.244	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.244	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.245	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.245	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.246	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.246	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.247	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.247	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.248	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.248	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.249	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.249	00:21:91:F0:BF:9E	-	-	-		-	-	D-Link Corporation
161.200.144.250	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.250	00:21:91:9B:F7:00	-	-	-		-	-	D-Link Corporation
161.200.144.251	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.251	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.252	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.252	00:1E:C1:92:BA:60	-	-	-		-	-	3COM EUROPE LTD
161.200.144.253	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.253	40:A6:E8:33:28:47	-	-	-		-	-	
161.200.144.254	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.254	88:90:8D:B1:57:C0	-	-	-		-	-	
